SKU,QTY,Cost
ACEDR37,1.0,8.4
ACEDR41,3.0,6.83
ACEDR49,4.0,7.3
ACEFD478,2.0,6.73
ACEFD487,3.0,9.83
ACEFD502,6.0,3.98
ACEFD503,1.0,3.24
ACEFD505,6.0,4.95
ACEUF115,2.0,5.77
ACEUF126,2.0,14.32
ACEUF189,1.0,11.45
ACEUF191,3.0,3.71
ACEUF192,2.0,10.32
ACEUF199,9.0,7.4
ACEUF261,2.0,20.29
ACEUF270,5.0,6.35
ACEUF293,1.0,38.76
ACEUF297,2.0,6.0
ACEUF301,1.0,29.8
ACEUF375,8.0,11.51
ACEUF378,3.0,8.88
ACEUF413,1.0,10.8
ACEUF414,12.0,11.15
ACEUF434,1.0,43.66
ACEUF491,3.0,13.65
ACEUF53,1.0,20.95
ACEUF553,3.0,8.38
ACEUF557,1.0,9.91
ACEUF569,6.0,9.79
ACEUF612,4.0,8.18
ACEUF646,2.0,11.7
ACEUF648,3.0,5.21
ACEUF669,1.0,45.21
ACEUF670,3.0,14.32
ACEUF680,1.0,19.4
ACEUF751,2.0,11.31
ACEUF773,2.0,15.9
ACEUF802,2.0,12.88
ACEUF823,1.0,9.09
ACEUF826,1.0,15.33
ACEUF839,2.0,14.26
ACI5103453AA,2.0,17.1
ACR80279,1.0,12.66
ADTDR318,1.0,4.7
ADTDR450,1.0,11.9
ADTPS308,1.0,19.42
ADTRY438,2.0,4.57
ADTSLS208,1.0,13.12
ADTUF305,1.0,28.1
AEX2839,1.0,14.757606
AEX3013,2.0,54.59
AEX3098,1.0,8.49
AEX3145,1.0,27.61
AEX3188,1.0,12.348
AEX3604,1.0,2.44
AEX4370N,1.0,3.03
AEX4528N,1.0,2.69
AEX55066,1.0,54.19
AEX5707,1.0,6.08
AEX614121,1.0,24.55
AEX61624211,1.0,13.0
AEX61646976,1.0,2.93
AEX710068,1.0,9.34
AEX710429,1.0,16.368
AEX710481,1.0,12.566405
AEX710928,2.0,3.587
AEX7457N,1.0,11.14
AEX8660S,1.0,2.12
AEX8670,1.0,13.58
AEX8835S,1.0,0.718726
AEXB569,1.0,12.73
AEXCA11482,2.0,5.3
AEXCA327,1.0,4.76
AEXCA3901,1.0,7.84
AEXCA6626,1.0,4.09
AEXCA9953,1.0,13.19
AEXD1164,1.0,10.4
AEXD922,1.0,33.03
AEXFT1055,1.0,4.27
AEXFT1073,1.0,12.0
AEXFT1131,1.0,12.17
AEXFT1206,2.0,11.83
AEXG10166,1.0,10.2
AEXK6167,1.0,6.0
AEXK6455,1.0,2.09
AEXK7305,1.0,3.73
AEXK8268,1.0,5.68
AEXPH25,1.0,2.71
AEXT638,1.0,14.43
AEXWL10290,1.0,2.2308
AFG1L,2.0,0.99
AFG5L,4.0,4.33
AFR1634210174,1.0,6.02
AFR1L,9.0,1.21
AFR1L-V,1.0,1.42
AFRD4073,2.0,4.71
AFRD42226CEUR,2.0,16.92
AFRD4823,1.0,2.97
AFRD4846C,1.0,17.23
AFRD4897,1.0,7.88
AFRD7035C,3.0,13.66
AFRD7084C,3.0,8.24
AFRH5025,2.0,6.57
AGA46799653SET,1.0,3.789415
AGA51977574AA,5.0,2.400626
AGA5470105AG,1.0,97.023357
AGA5470107AG,1.0,112.401452
AGA5471019AG,1.0,39.548262
AGA5471031AG,2.0,59.884615
AGA5930030AG,8.0,5.08
AGA5930031AG,1.0,4.165793
AGA5930032AG,1.0,4.025591
AGA5930091AG,1.0,5.117251
AGA68294899AA,4.0,2.866419
AGA68322700AA,4.0,2.52006
AGA7260081,3.0,13.930682
AGA7260082,3.0,13.996637
AGA8350001AG,5.0,1.349279
AGA8350016AG,1.0,1.562723
AGA8400006AG,2.0,8.814239
AGA9320044,1.0,169.030537
AGA9320058,1.0,86.421467
AGA9320111,1.0,73.035242
AGA9320112,1.0,185.190388
AGA9320115,1.0,83.071092
AGA9320118,1.0,71.268261
AGA9320126,1.0,88.486754
AGA9320141,1.0,73.024533
AGA9320156,1.0,86.089489
AGA9320158,1.0,92.493459
AGA9320216,1.0,86.475222
AGACF11183,2.0,2.890306
AGRRP3511515,4.0,168.38
AIC56029398ABEUR,1.0,39.46
AIPUF199,1.0,15.15
AIR1S2496,1.0,43.0
AIR1S5287,1.0,23.63
AIRAW4101,1.0,45.58
AIRAW5049,1.0,31.67
AIRAW5087,1.0,75.82
AIRAW6145,2.0,28.72
AIRAW7103,2.0,30.654027
AIRE3689M,1.0,63.9
AIRPC243,1.0,13.0
AJS01046400EUR,1.0,3.12
AKN51941991,4.0,2.815312
AMP102712100E,2.0,61.465
AMP10838,3.0,10.31
AMP11-2017,1.0,13.32
AMP14TIPMK,2.0,11.71
AMP1520130,1.0,16.88
AMP171128SET,1.0,149.11
AMP172292SET,1.0,151.982486
AMP172401,1.0,91.99
AMP1AR26BD1AA,6.0,6.16
AMP3T1197,1.0,82.53
AMP42113/42114,1.0,127.16
AMP42912,2.0,12.15
AMP4589890AC,1.0,31.77
AMP4671929AA,3.0,23.09
AMP4721692ACSET,2.0,206.7
AMP47278SET,1.0,10.76
AMP4782861AA,3.0,37.81
AMP4792443AB,4.0,15.29
AMP4805845AB,1.0,43.82
AMP4877136AA,1.0,158.13
AMP5011261AA,1.0,76.53
AMP5116079AA,8.0,5.47
AMP512460SET,1.0,85.3
AMP513396SET,1.0,98.25
AMP515160,2.0,72.99
AMP5154449OR,1.0,35.43
AMP5184653AE,2.0,23.73
AMP52125143AC,1.0,21.07
AMP525122,2.0,40.56
AMP525130,3.0,67.41
AMP5301394SET,1.0,62.79
AMP55079292C,2.0,14.51
AMP5517638SET,1.0,34.18
AMP55235571AB,1.0,18.9
AMP56046955AGSET,2.0,20.96
AMP58117,4.0,6.43
AMP58135SET,10.0,6.07
AMP58147SET,2.0,7.14
AMP58148SET,7.0,6.59
AMP600202,1.0,27.91
AMP621070,1.0,101.65
AMP622-001,1.0,71.47
AMP68002784AA,1.0,12.96
AMP68028437AA,4.0,11.93
AMP68030927AA,4.0,102.53
AMP68054677,1.0,14.68
AMP68079362AA,2.0,20.6
AMP68080867AA,2.0,31.15
AMP68084266AB,1.0,152.52
AMP68120415AA,1.0,30.17
AMP68143505AC,1.0,18.63
AMP68193628AA,1.0,45.62
AMP68211200AC,1.0,13.61
AMP68240905AA,1.0,50.42
AMP68252670AA,1.0,69.94
AMP68260443AASET,9.0,4.8
AMP68335268AA,2.0,12.01
AMP68507598AA,2.0,10.87
AMP700071,1.0,40.81
AMP80919,1.0,74.72
AMP81405,1.0,59.68
AMP81485,2.0,52.15
AMP81490,1.0,59.52
AMP81500,1.0,72.66
AMP81532,3.0,52.46
AMP81538,3.0,59.49
AMP90511S,1.0,132.61
AMP911201,2.0,15.68
AMP912006,1.0,19.89
AMP912009,1.0,10.99
AMP912087,1.0,19.02
AMP9199/8199BL,1.0,65.62
AMP924704,9.0,9.07
AMP926122/3SET,1.0,22.37
AMP926876,2.0,77.09
AMP931107,1.0,69.39
AMP949730SET,1.0,274.6
AMP99333,1.0,43.78
AMPCH1200244,1.0,84.79
AMPCH1311150L,3.0,29.72
AMPCH1311150R,1.0,29.72
AMPCH1324129,1.0,15.66
AMPCH1325129,1.0,15.66
AMPCH2592/3109SET,1.0,25.48
AMPCH2592/3147SET,1.0,64.03
AMPCH2592127SET,1.0,24.8
AMPCH2801122/0122,1.0,54.12
AMPDS1429,1.0,22.49
AMPDS1534,2.0,24.44
AMPDS1534CH,1.0,19.52
AMPDS876,1.0,22.14
AMPE2562M,1.0,72.52
AMPE7121M,1.0,47.28
AMPE7162M,2.0,50.42
AMPE7172M,3.0,23.08
AMPE7192M,2.0,53.15
AMPE7196M,1.0,53.894858
AMPE7220M,1.0,63.36
