SKU,QTY,Cost
RAY27777B,2.0,1.66
RAY27832B,1.0,2.812353
RAY28911B,1.0,1.938917
RAY3550R,2.0,21.9156
RAY41040,2.0,3.44
RAY41122,1.0,6.48
RAY41204,6.0,3.28
RAY5072R,2.0,22.289762
RAY512154,1.0,29.5
RAY53036,4.0,9.32
RAY5329,2.0,20.81
RAY5351B,1.0,1.07
RAY54036,2.0,13.39
RAY54087,2.0,21.15
RAY56242R,2.0,48.605144
RAY56579R,2.0,54.49
RAY580019R,6.0,20.065142
RAY581048R,1.0,44.1
RAY610236,2.0,0.83
RAY610253,2.0,1.414753
RAY611072,2.0,3.62
RAY66276R,1.0,34.271795
RAY680319R,2.0,31.25153
RAY7501,1.0,11.837933
RAY76787,1.0,53.79
RAYB637,1.0,15.498921
RAYB714,1.0,5.0
RAYB777,1.0,23.72
RAYBC93051,1.0,8.2
RAYBC93107,1.0,27.039877
RAYBC93232,1.0,13.785959
RAYBC93244,1.0,10.964216
RAYBC93582,1.0,23.63
RAYBC93588,1.0,23.63
RAYBC93616,1.0,14.5
RAYBC93942,1.0,10.12
RAYBC94101,1.0,40.0
RAYBC94254,1.0,23.24
RAYBC94273,1.0,14.84
RAYBC94324,1.0,10.91
RAYBC94367,1.0,27.3
RAYBC94372,1.0,12.553193
RAYBC94384,1.0,22.77
RAYBC94490,2.0,15.54
RAYBC94491,2.0,21.0
RAYBC94967,1.0,13.06
RAYBC95104,1.0,15.87
RAYBC95110,2.0,15.32
RAYBC95326,1.0,15.92
RAYBC95437,1.0,29.28
RAYBC95446,1.0,20.638389
RAYBC95472,1.0,6.03758
RAYBC95732,1.0,51.363969
RAYBC95800,1.0,8.82
RAYBC95814,1.0,14.28
RAYBC95862,1.0,64.309869
RAYBC95872,1.0,18.254199
RAYBC95880,2.0,9.44
RAYBC95881,3.0,13.27
RAYBC95912,1.0,14.99
RAYBC96001,2.0,14.165255
RAYBC96002,1.0,22.1
RAYBC96885,1.0,75.88
RAYBC96965,1.0,30.84
RAYBC97145,2.0,18.779576
RAYBC97215,1.0,26.38
RAYBC97321,1.0,23.95
RAYBC97327,1.0,18.37
RAYBC97334,2.0,14.77
RAYBH36562,2.0,10.34
RAYBH380189,1.0,18.002691
RAYBH380194,1.0,28.36
RAYBH380264,1.0,8.71
RAYBH380295,1.0,15.276781
RAYBH380305,1.0,11.95
RAYBH380333,1.0,9.08
RAYBH380340,1.0,14.69308
RAYBH380344,2.0,16.05
RAYBH380889,1.0,22.15
RAYBH380975,1.0,15.629754
RAYBH380976,2.0,14.542116
RAYBH381102,1.0,17.51
RAYBH381338,1.0,9.33
RAYBH381513,1.0,32.67
RAYBH382312,1.0,11.74
RAYBH382325,1.0,16.67
RAYBH382348,2.0,22.295204
RAYBH382357,1.0,20.77
RAYBH382372,1.0,19.55
RAYBH382375,1.0,19.75
RAYBH382379,1.0,18.3
RAYBH382412,1.0,20.22
RAYBH382462,1.0,11.71
RAYBH382464,1.0,16.49
RAYBH382520,1.0,9.922829
RAYBH382522,1.0,13.568391
RAYBH382572,2.0,11.68
RAYBH382573,1.0,19.903807
RAYBH382607,1.0,14.26
RAYBH382696,1.0,10.99
RAYBH382906,1.0,11.71
RAYBH383200,1.0,18.31
RAYBH383784,1.0,10.31
RAYBH38622,1.0,14.297607
RAYBH38623,1.0,16.186682
RAYC93621,1.0,8.29
RAYD1050,2.0,0.0
RAYD1665H,1.0,25.93
RAYD1901H,1.0,31.28
RAYD2174H,1.0,22.098981
RAYD436,1.0,23.52
RAYD524,1.0,14.0
RAYD650,1.0,12.12
RAYDP85072,2.0,6.46
RAYDPS85010,1.0,2.0
RAYES3173,1.0,6.86
RAYES3370,1.0,9.42
RAYFRC10511,1.0,46.66
RAYH2614,1.0,7.74
RAYH2615,1.0,9.56
RAYH2668,1.0,9.78
RAYH5065,1.0,7.768124
RAYH5600A,3.0,7.92
RAYH5610A,1.0,8.91
RAYH5805A,1.0,11.17
RAYH7353,1.0,20.1
RAYHW5695,1.0,7.647422
RAYK6034,2.0,13.16
RAYK7069,2.0,8.95
RAYK7291,1.0,6.64
RAYMGD1818C,1.0,29.2
RAYS20089,2.0,0.614314
RAYS6858,1.0,0.685213
RAYWC17507,1.0,5.8
RAYWC17508,1.0,5.75
RAYWC370189,2.0,11.05
RAYWC370192,1.0,6.22
RAYWC370193,1.0,6.23
RAYWC370195,2.0,7.2
RAYWC37048,2.0,7.526703
RAYWC37116,2.0,14.821326
RAYWC37235,2.0,5.83
RAYWC37564,2.0,5.11
RAYWC37647,3.0,6.59
RAYWC37781,2.0,8.3667
RAYWC37844,4.0,6.19
RAYWC37854,2.0,7.71
RAYWC37857,6.0,6.1
RAYWC37967,1.0,6.63
RAYWC37985,1.0,6.709295
RAYWC9025,1.0,8.45
RAYWC9026,1.0,6.809885
RBELIFTKITJKP,1.0,107.39
RBELOWKIT4IN,1.0,24.18
RBESC2928,4.0,27.6
RBESC2970,1.0,47.87
RCHK641333,1.0,52.47
RCHRH016004,1.0,10.99
RCHRK641794,2.0,66.32
RDT38007,3.0,3.68
RDT4334,1.0,40.0
RDTTBT150A,1.0,18.11
RDX0002BC,2.0,4.008827
RDX0003MB,1.0,2.555756
RDX0004T,3.0,5.977171
RDX0005ST,2.0,11.59365
RDX0009BS,1.0,22.393779
RDX0010PG,4.0,1.070224
RDX0013BS,1.0,17.43685
RDX0021PH,1.0,3.823328
RDX100008A0002,1.0,55.206385
RDX100029A0002,2.0,16.122648
RDX100183A0004,1.0,5.822937
RDX104590,3.0,15.302152
RDX110768100A,2.0,4.75082
RDX22170,2.0,26.57
RDX2254S0038,4.0,1.444182
RDX243G0021EUR,4.0,11.24
RDX298W0186,2.0,4.929057
RDX298W0215,1.0,5.958791
RDX32290,4.0,14.839074
RDX367163101,1.0,72.96
RDX38018,1.0,2.34
RDX38323,2.0,17.33
RDX41337SET,2.0,4.998543
RDX4677038EC,1.0,9.42314
RDX4761941,1.0,22.88
RDX4777976AA,8.0,2.410571
RDX4861630AB,2.0,12.99764
RDX4894527AA,2.0,32.33
RDX5080146AA,2.0,7.09
RDX5085224AA,1.0,44.86166
RDX5106043AB,2.0,13.200744
RDX513123,4.0,23.52
RDX5175589AA,6.0,3.318448
RDX52028327,3.0,23.884528
RDX52080262AA,30.0,17.48
RDX52089301AA,1.0,50.4729
RDX53027,4.0,22.299773
RDX53041,7.0,17.278731
RDX53050,2.0,16.426914
RDX53064,4.0,34.23
RDX53068,4.0,23.606682
RDX55369303AA,2.0,4.23
RDX56044672AA,2.0,9.52
RDX5HX08SZ0AB,10.0,4.49
RDX6601,4.0,2.511621
RDX663220,1.0,28.092019
RDX68013182AC,2.0,54.43
RDX68040206AAP,1.0,3.246222
RDX68144161AA,1.0,36.095949
RDX71377,8.0,20.09758
RDX71572,2.0,21.71
RDX72248R,4.0,22.945
RDX7450083,3.0,22.646452
RDX7526,1.0,6.595155
RDX7570,1.0,5.78
RDX7648,1.0,11.15
RDX7698,12.0,3.285
RDX7698REPSET,4.0,5.104841
RDX7710SET,8.0,5.603794
RDX780257,4.0,15.080193
RDX9005,6.0,0.868834
RDX9006,6.0,0.868834
RDX9012,6.0,0.99916
RDX981643R,2.0,11.0
RDXA0036,2.0,18.219324
RDXA0315,1.0,12.699847
RDXA0869,1.0,17.254771
RDXA0900,1.0,17.404813
RDXA0921,2.0,15.25
RDXAF0333,3.0,2.050788
RDXAF0334,3.0,2.050788
RDXAF0335,3.0,1.958039
RDXAF0336,3.0,1.958039
RDXAF0340,2.0,1.721013
RDXAF0341,2.0,1.721013
RDXAF0342,2.0,1.721013
RDXAF0343,2.0,1.721013
RDXAF0344,2.0,2.050788
RDXAF0345,2.0,2.050788
RDXAF0346,2.0,2.050788
RDXAF0347,2.0,2.050788
RDXAF0353,2.0,0.824437
RDXAF0354,4.0,0.77291
RDXAF0356,5.0,0.77291
RDXAF0357,2.0,1.246961
RDXAF0358,2.0,1.246961
RDXAF0359,2.0,1.246961
RDXAF0360,2.0,1.246961
RDXAF0363,2.0,1.143907
RDXAF0364,2.0,1.143907
RDXAF0367,5.0,0.298859
RDXAF0368,5.0,0.298859
RDXAF0369,5.0,0.298859
RDXAF0370,5.0,0.298859
RDXALS1134,3.0,9.07
RDXALS1932,1.0,4.116248
RDXALS210,12.0,7.26
RDXALS2113,2.0,8.017653
RDXALS50,1.0,10.32
RDXAS305,1.0,6.01867
RDXAW7136,3.0,18.060038
RDXB701,4.0,6.584719
RDXB774,2.0,12.1
RDXB777,2.0,7.52
RDXB807,5.0,4.824406
RDXB843,5.0,5.885549
RDXB866,1.0,5.92
RDXB941,1.0,10.702245
RDXBC95101,5.0,5.25
RDXBH382367,14.0,9.167418
RDXBH383294,4.0,2.268375
RDXCA3002AL,10.0,15.69
RDXCA3002AR,10.0,15.54
RDXCA7597,1.0,1.968344
RDXCA9620,2.0,3.72
RDXCF10363,3.0,3.44
RDXCF10729,4.0,2.47
RDXCF9597OG,1.0,3.29
RDXCH8765,4.0,1.391857
RDXD1019,1.0,9.05
RDXD1037,1.0,5.609023
RDXD1050,1.0,10.284856
RDXD1734,3.0,10.490965
RDXD731,2.0,11.021254
RDXD791,2.0,8.25
RDXD868,1.0,6.32
RDXDM0002,3.0,2.401174
RDXDS1238,3.0,12.247417
RDXDS1310,5.0,13.003689
RDXE7189M,1.0,43.233742
RDXES3473,8.0,7.30476
RDXES80643,4.0,4.585933
RDXES80644,4.0,4.585933
RDXEV405,12.0,2.994952
RDXG63829,4.0,12.454657
RDXH7302SMALL,4.0,1.993156
RDXHT2011,6.0,2.410571
RDXIS0002,4.0,2.675561
RDXJC0005,3.0,4.369518
RDXK060563,4.0,3.453479
RDXK060882,1.0,6.05
RDXK060950,5.0,6.45
RDXK3167A,6.0,4.51
RDXK3197,2.0,4.71
RDXK3198,3.0,17.824928
RDXK500063,8.0,2.38604
RDXK500190,1.0,25.71
RDXK620244,6.0,7.189971
RDXK621374,1.0,79.021669
RDXK7399,2.0,6.72
RDXK7450A,3.0,6.658031
RDXM0004,2.0,0.618328
RDXMC0004,1.0,4.627155
RDXRU93,4.0,7.851743
RDXSC2928,4.0,15.816683
RDXSG1850,2.0,11.52
RDXSG214045,2.0,3.91
RDXSPK301,6.0,12.134229
RDXSS45976,5.0,4.215754
RDXTB824,1.0,17.148297
RDXTDS0005,1.0,11.737927
RDXTDS0006,1.0,19.02
RDXTH190,1.0,5.495191
RDXTH211,2.0,6.36
RDXTH264,2.0,7.26
RDXUF198T,4.0,5.891845
RDXUF97,4.0,6.71
RDXVC0007,1.0,10.490965
RDXWC37862,3.0,4.34
RDXWS0002,1.0,1.051158
RDXWT0002,1.0,25.670918
REE21556,5.0,15.34
REE7028100,4.0,15.57
REE7043100,2.0,24.58
RGCSC2928,2.0,41.43
RMY96206,1.0,71.860683
RNC37026,1.0,66.32
RNCG63424,3.0,28.97
RNCG63425,1.0,35.39
RNS3066,1.0,17.44
RNS3131,1.0,13.41
RNS3134,3.0,13.23
RNS3167,1.0,15.48
RNS902945,1.0,9.07
RNS903902,1.0,8.81
RNS904956,2.0,7.74
RNS905914,1.0,7.65
RNS905922,1.0,11.92
RNS905982,1.0,3.94
RNS905992,2.0,1.83
RNS9161,1.0,8.68
RNS9162,1.0,19.93
RNS9184,1.0,18.77
RNS9187,1.0,18.8
ROXRXJ714,1.0,143.75
RSTNS129,1.0,53.03
RTSK8194T,2.0,6.32
RUVHOBJ3290,1.0,7.25
SAC5106018AC,1.0,85.24
SAF31523,1.0,2.76
SAF41188,2.0,0.93
SAF4857307AB,1.0,42.8512
SAF4895041AC,3.0,44.56
SAF4895801AA,4.0,6.43
SAF52059973AC,57.0,0.33
SAF52090402AA,11.0,2.69
SAF614092,3.0,10.98
SAF663994IS,3.0,32.02
SAF903901,1.0,11.34
SAFA4684418,4.0,1.1
SAFB1019,2.0,2.7
SAFES3173,2.0,3.29
SAFES3358,4.0,4.62
SAFES3366T,1.0,7.85
SAFEV800432,5.0,4.0
SAFEV80782,1.0,12.51
SAFFT1214,1.0,5.7
SAFHK1,1.0,50.46
SAFHK3,2.0,50.46
SAFK200159,2.0,2.17
SAFK201404,1.0,7.2475
SAFK3202,1.0,3.61
SAFK500082,1.0,11.3
SAFK7258,3.0,7.13769
SAFK7450A,1.0,5.5
SAFK80861,1.0,6.18
SAS10W40-5L,1.0,13.1
SAS543211KA0B,1.0,17.31
SAS5W30-5L-C3,2.0,17.64
SAS5W40-1L-C3,5.0,3.79
SAS5W40-5L-C3,2.0,16.94
SB364V01FKIT,1.0,16.87
SC2962,1.0,32.19
SCH538067610,1.0,106.0
SCSG63847,2.0,30.02
SCSSG304001,2.0,12.71
SEA82600A,1.0,51.83
SEAE229X,1.0,23.1
SEAE459X,1.0,23.560309
SEAR973,12.0,3.72
SEC503020,1.0,42.13
SEN7473,1.0,7.0
SEP2224SR46,1.0,22.78
SEP4781013AA,1.0,170.0
SEP5184332AA,4.0,5.7
SEPE251K030,2.0,28.91
SEPE251X30,1.0,37.46
SEPKT34190S,1.0,16.26
SEPR9904,1.0,186.61
SEPV3954,1.0,12.81
SES32194,4.0,13.15
SES32290,2.0,11.313401
SES32306,2.0,14.490579
SES32333,2.0,18.66
SES32405,4.0,19.22
SES37026,2.0,17.595703
SES71128,6.0,29.299718
SES71577,2.0,51.280164
SES71578,1.0,29.0
SES71592,2.0,21.63
SES71964,4.0,21.979943
SES72130,6.0,22.449723
SES72401,3.0,20.160693
SES72509,2.0,29.488461
SES72510,2.0,29.488461
SES911064,1.0,19.148265
SES911278,1.0,22.118919
SES911299,3.0,12.44
SES911527,2.0,17.26159
SESG51722,2.0,16.378947
SESG55993,1.0,43.78
SESG63676,2.0,19.179316
SESG63829,2.0,21.082952
SHE38542,2.0,5.0
SHE52100009AC,1.0,21.35
SHE551358SET,1.0,55.18
SHE58441L,1.0,26.46
SHE6659,2.0,10.57
SHE741645,1.0,34.1
SHE926578,1.0,28.64
SHEARCRVANL,1.0,101.53
SHEARCRVANR,1.0,101.53
SHEASPRAMRL,1.0,76.44
SHECH1047102,1.0,25.59
SHECH1191110,1.0,48.2
SHECH1200179,1.0,39.47
SHECH1228103,1.0,10.84
SHECH1234109,1.0,17.3
SHECH1321265,1.0,25.11
SHECH1324134,1.0,12.26
SHECH1325134,1.0,12.26
SHECH1328100,1.0,27.69
SHECH1329100,1.0,27.69
SHECH1353110,1.0,11.16
SHECH1353151,1.0,16.27
SHECH1513102,7.0,21.0
SHECH1552112,1.0,13.0
SHECH1900121,1.0,149.85
SHECH1915110,1.0,9.24
SHED4068,1.0,3.31
SHED4120,2.0,9.85
SHED4123,1.0,5.03
SHED4124,1.0,4.96
SHEDLGCHERL,1.0,74.24
SHEDLGCHERR,1.0,76.35
SHEDRSCHERLF,1.0,41.98
SHEDRSCHERLR,1.0,50.99
SHEDSGCHERF,1.0,28.09
SHEDSGCHERR,1.0,28.09
SHEFO1036115,1.0,10.73
SHEFO1200403,1.0,41.33
SHEFO2541107,1.0,8.56
SHEGM1200323,1.0,28.85
SHEGM1237113,4.0,7.92
SHEHU2592101,1.0,21.29
SHEPNCARAVRL,1.0,100.25
SHEPNCRVANL,2.0,60.56
SHEPNCRVANR,2.0,60.56
SHEPNRAM1L,1.0,25.41
SHEPNRAM1R,1.0,25.41
SHEPNRAM2L,1.0,33.33
SHEPNRAM2R,1.0,33.33
SHEPNRAML,1.0,36.49
SHEPNRAMR,1.0,36.49
SIGBSH8H11H9,1.0,0.99
SK9023039,2.0,12.01
SKF14942,1.0,15.32
SKF15977,2.0,9.05
SKF18136,1.0,5.19
SKF18718,3.0,11.29
SKF21241,1.0,15.66
SKF21257A,2.0,12.1
SKF23000,2.0,12.71
SKF28746,1.0,12.750325
SKF481792,1.0,17.65
SKF52108695AA,1.0,8.69
SKF5693,2.0,11.79
SKF710461,1.0,8.36
SKF95320K1,1.0,108.36
SKFK060942,1.0,23.21
SKFKP25649XSEUR,1.0,142.6
SKP10231,9.0,1.89
SKP14044,25.0,14.68
SKP264260,1.0,45.52
SKP36157,1.0,7.45
SKP38103,2.0,23.49
SKP38114,2.0,29.35
SKP38403,2.0,10.86
SKP38422,8.0,1.96
SKP38479,2.0,15.07
SKP38633,2.0,18.44
SKP4578029AC,4.0,13.14
SKP47238HP,5.0,10.37
SKP4761941,1.0,35.79
SKP4792867AB,2.0,7.76
SKP5080569AE,3.0,17.3
SKP5103208AA,1.0,11.52
SKP52107652AB,2.0,57.449349
SKP5274750AF,1.0,60.6
SKP56398,1.0,11.7
SKP600911,1.0,89.66
SKP603300,1.0,8.76
SKP604020,1.0,20.7
SKP604045,1.0,15.0
SKP614121,2.0,11.45
SKP626-305,1.0,17.2
SKP674225,2.0,92.56
SKP700012,2.0,43.49
SKP722034,2.0,50.63
SKP85193,2.0,6.9
SKP902-301,2.0,15.77
SKP902-308,1.0,7.19
SKP9021006,1.0,20.83
SKP902312,2.0,3.86
SKP902313,1.0,5.19
SKP905100,1.0,20.34
SKP917992,2.0,11.5
SKP924531,6.0,9.58
SKP93022,1.0,39.83
SKP961005A961006,1.0,106.38
SKPALS1889,1.0,15.57
SKPALS203,3.0,15.43
SKPAW5075,1.0,22.16
SKPAW6231,2.0,28.34
SKPCS650159,1.0,28.85
SKPDS1017,1.0,14.86
SKPEM2947,2.0,15.55
SKPEM3169,5.0,22.38
SKPES2004S,2.0,3.66
SKPES2077RT,1.0,8.78
SKPES2080S,1.0,5.08
SKPES3493T,2.0,7.49
SKPES3538,2.0,7.73
SKPES3626S,2.0,5.295305
SKPES800321,4.0,7.21
SKPES800367,4.0,8.19
SKPES800983S,1.0,13.21
SKPFD487,1.0,0.0
SKPGM1311143,1.0,12.06
SKPHT15,16.0,6.14
SKPK201370,1.0,19.91
SKPK500082,5.0,6.49
SKPK500227,2.0,9.4
SKPK6366T,1.0,17.67
SKPK7242,3.0,6.4
SKPK7246T,1.0,17.39
SKPK7383,4.0,7.89
SKPK7406,2.0,19.81
SKPK7422,4.0,7.97
SKPK750362,1.0,11.79
SKPK778,2.0,8.27
SKPK80894,2.0,7.92
SKPK8639,4.0,6.56
SKPK8678,1.0,11.58
SKPMAS0219,1.0,46.9
SKPS1452,1.0,11.21
SKPS524,2.0,2.57
SKPSEV407,2.0,12.22
SKPSK42422,2.0,17.674939
SKPSK603380,2.0,50.62
SKPSKY01228,3.0,11.92
SKPT2078,1.0,7.81
SKV30CRDIMRP,1.0,23.81
SKV4684158AB,2.0,60.257015
SKV4809886AA,2.0,25.61
SKV4891699AE,1.0,18.01
SKV5018479AB,1.0,10.84
SKV5019806AA,1.0,29.55
SKV5019807AA,1.0,29.44
SKV5019808AA,4.0,22.32
SKV5093274AA,2.0,26.307956
SKV512333,1.0,28.07
SKV513123,2.0,22.83
SKV513138,2.0,22.83
SKV513159,2.0,25.63
SKV513176,4.0,34.51
SKV5137670AA,1.0,42.64
SKV5137671AB,1.0,42.62
SKV515113,2.0,51.43
SKV5184294AE,1.0,60.95
SKV5191267AA,1.0,23.87
SKV5191268AA,1.0,23.87
SKV52014481AA,2.0,0.0
SKV52079576,2.0,27.55
SKV52079581AB,2.0,28.59
SKV52087871AE,1.0,75.67
SKV52088134,2.0,56.58
SKV52088712AA,2.0,50.318453
SKV55037958AB,2.0,21.81
SKV68013182AC,1.0,44.28
SKV68028074AA,1.0,27.83
SKV68029848AA,2.0,31.86
SKV68034270AA,1.0,71.79
SKV68065294AA,4.0,70.03
SKV68092350AA,1.0,43.47
SKV68105583AF,1.0,63.39
SKV746259,1.0,25.641283
SKV96183061,1.0,22.88
SKVAC176,2.0,7.88
SKVAC543,2.0,8.26
SKVE7000,1.0,11.17
SKVE7012,1.0,11.9
SKVE7094E,2.0,43.28
SKVE7154,1.0,21.79
SKVEGV827,2.0,35.16
SKVETS175,1.0,29.06
SKVGA1101,4.0,10.96
SKVGA1101RK,1.0,23.12
SKVLX931,3.0,18.64
SKVPC169,1.0,8.64
SKVPC284,2.0,11.0
SKVRU358,5.0,25.06
SKVSG1849,1.0,19.36
SKVSG1850,1.0,19.53
SKVSPK301,2.0,13.261671
SKVUF97,2.0,8.646241
SM7703,3.0,15.435576
SMP10469173,1.0,55.46
SMP27669,1.0,31.92
SMP2872,1.0,17.3
SMP2937,1.0,19.79
SMP2946,1.0,18.954963
SMP2965,1.0,25.93
SMP4861959AC,1.0,19.4
SMP6663,1.0,21.923951
SMP6671,1.0,15.04
SMP6673,1.0,19.5
SMP6691,1.0,22.14
SMP6889,1.0,28.476173
SMP6892,1.0,36.65
SMP6904,1.0,69.35
SMP7473,1.0,7.85
SMP7526,1.0,16.07
SMP7645,1.0,13.864772
SMP7660,1.0,17.65
SMP7733,1.0,14.46
SMP7815,2.0,14.51
SMP7861,1.0,43.16
SMP7876,1.0,20.98
SMP7877,2.0,30.03
SMPAC253,1.0,18.0
SMPAL4556PT,1.0,6.1
SMPALS1116,1.0,29.21
SMPALS127,1.0,29.52
SMPALS1932,1.0,10.21
SMPALS2892,1.0,25.19
SMPAS194,1.0,61.07
SMPCCR1,1.0,18.57
SMPCH307,1.0,1.51
SMPCH310,2.0,3.844698
SMPCPBK321,1.0,21.3
SMPCSP124,1.0,63.0
SMPDG25,1.0,6.63
SMPDR323T,1.0,3.25
SMPDR41T,1.0,15.9
SMPDS213,3.0,12.155
SMPDS346,1.0,38.35
SMPDS357,3.0,13.85
SMPDS534,1.0,5.5974
SMPDS741,4.0,18.65
SMPDS869,1.0,4.7
SMPEGV824,1.0,42.95
SMPEGV830,1.0,51.129709
SMPFD117,2.0,1.9
SMPFD119,1.0,1.42
SMPFD129,1.0,4.85
SMPFD307,1.0,1.536745
SMPFD312,1.0,3.53
SMPFD476T,1.0,10.63
SMPFJ928,1.0,144.03
SMPFLS23,1.0,13.68
SMPHP4555,2.0,19.37
SMPHP4700,1.0,9.98
SMPJR166,1.0,7.3
SMPLS201,13.0,12.738
SMPLS205T,1.0,7.645996
SMPLS253,1.0,49.064419
SMPLX260,1.0,9.68
SMPLX315,1.0,26.173387
SMPMS93491,1.0,4.72
SMPPC106KT,1.0,11.3
SMPPC125,1.0,27.315747
SMPPC242,1.0,21.97
SMPPC34,1.0,54.42
SMPPS129,1.0,3.43
SMPPS135,1.0,5.33
SMPPS139,1.0,7.99
SMPPS216,1.0,4.94
SMPPS237,1.0,12.34
SMPPS287,1.0,10.09
SMPPS302T,2.0,9.66
SMPPSS63,1.0,27.29
SMPRU362,1.0,12.800641
SMPRU368,1.0,70.0
SMPRU380,2.0,5.360488
SMPRU382,1.0,16.5
SMPRU399,2.0,17.460564
SMPRU477,1.0,36.19
SMPRU642,1.0,25.48
SMPRU730,1.0,30.385641
SMPRY438T,1.0,8.09
SMPRY65,1.0,24.78
SMPS2289,3.0,4.91
SMPS529,2.0,1.38
SMPS899,1.0,5.59
SMPSC103,1.0,15.55
SMPSC131,1.0,53.83
SMPSG1822,1.0,15.62
SMPSG1852,2.0,12.97
SMPSG209,2.0,27.24
SMPSG300,2.0,14.09
SMPSK133,1.0,5.58
SMPSLS108,2.0,3.715745
SMPSLS237,1.0,9.88
SMPSLS77,1.0,3.73875
SMPSPP27,1.0,2.48
SMPT36056,2.0,4.47
SMPTH137,1.0,26.0
SMPTH381,2.0,35.25
SMPTL104,1.0,7.61
SMPTPM16A,2.0,44.49
SMPTPM2011VK,3.0,2.05
SMPTPM2012VK,7.0,3.34
SMPTPM25A,1.0,28.12
SMPTPM930K,3.0,2.38
SMPTPM950K,9.0,2.63
SMPTW20,1.0,34.68
SMPTX184,1.0,16.62
SMPTX272,1.0,17.74
SMPTX3A,1.0,2.93
SMPTX3T,1.0,6.73
SMPTX43,1.0,5.89137
SMPTX49,1.0,20.4
SMPTX6T,1.0,2.692277
SMPUF271,1.0,13.03
SMPUF502,2.0,11.72
SMPUS164,2.0,12.465849
SMPUS274,1.0,16.85
SMPUS434,2.0,19.83
SMPV166,1.0,1.84
SMPV365,1.0,5.828088
SMPV376,1.0,3.36
SMPVR166T,2.0,16.26
SMS721V,1.0,54.3
SNG624046,1.0,33.27
SNG624048,1.0,31.81
SNG624284,2.0,45.06
SNG8717,1.0,6.93
SNGBH380307,1.0,9.0
SNGBH380343,1.0,16.43
SNGBH380344,1.0,14.55
SNGBH38182,2.0,9.190641
SNGBH382412,1.0,18.49
SNGBH382528,1.0,10.84
SNGBH382897,1.0,10.32
SNGBH383035EUR,1.0,6.38
SNGBH38605,1.0,5.35
SNGBH38624,1.0,8.02
SNGBH38636,1.0,17.7
SNGBH38664,1.0,6.85
SNPSPGM3373MFRK,1.0,17.25
SNR630072RS1,1.0,10.0
SNRR16880EUR,1.0,76.39
SPA7526,1.0,9.55
SPA7587,1.0,8.91
SPI286418,10.0,7.4088
SPI30185,4.0,0.64
SPI3175779,5.0,1.49
SPI334281X,1.0,82.29
SPI369,6.0,8.12
SPI41027,2.0,1.4
SPI4318060AD,5.0,9.42
SPI4857,2.0,15.96
SPI4864214,3.0,7.13
SPI4864845AB,4.0,3.53
SPI5066047AA,2.0,3.68
SPI5707,2.0,9.84
SPI5778,1.0,8.48
SPI708203,1.0,67.52
SPI710068,4.0,5.67
SPI710461,1.0,13.87
SPI710863,1.0,13.63
SPI714675,1.0,8.23
SPID30-355TJ,1.0,223.49
SPP304692,1.0,57.0
SPP53021687AC,1.0,128.0
SPP83106,1.0,11.48
SPP93021,1.0,47.61
SPP93023,1.0,22.71
SPP94584,1.0,26.0
SPP94733,1.0,43.0
SPPCRP31A,2.0,80.4
SPPCU2294,1.0,120.804397
SPPFD471T,1.0,10.42
SPPST42,1.0,19.28
SPR29883,1.0,10.0
SPRLX260,1.0,23.63
SRA4291,4.0,13.27
SRA4339,2.0,8.85
SRA6224,1.0,6.78
SRA901340,2.0,8.15
SRAC6289,2.0,17.64
SRASG230062,1.0,17.0
SRASG314073,2.0,11.75
SRL2622,1.0,23.55
SRL52380S1AE20,2.0,13.22
SRLCMS60139EUR,1.0,26.0
SRLK750453,3.0,4.3
SRLRK641633EUR,1.0,26.0
SRLS2627002,2.0,0.92
SRM7025,3.0,13.57
SRMC4535,1.0,9.79
ST206250,4.0,11.56
STA10085,1.0,1.59
STA10088,1.0,8.49
STA10111,3.0,1.61
STA10227,2.0,4.58
STA10230,10.0,2.26
STA10231,2.0,4.05
STA10234,6.0,5.0
STA10239,1.0,13.39
STA10269,1.0,5.02
STA10327,1.0,3.8
STA10504,1.0,10.68
STA10508,1.0,11.35
STA13008,1.0,3.75768
STA13356,1.0,2.93
STA13359,1.0,7.49
STA13399,2.0,5.57
STA13778,1.0,4.3
STA13779,7.0,4.815182
STA13868,1.0,5.85
STA13869,2.0,3.72
STA14119,1.0,8.59
STA14128,2.0,12.43
STA14138,1.0,7.63
STA14209,1.0,5.74
STA14298,2.0,4.45
STA14358,1.0,5.32
STA14399,1.0,16.31
STA14789,1.0,12.08
STA15112,1.0,5.82
STA15122,1.0,4.83
STA15259,1.0,18.93
STA25288,1.0,0.99
STA27160,8.0,0.77
STA33939,1.0,33.1
STA49108,2.0,5.38
STACH4015,1.0,8.63
STB4B671122,2.0,11.54
STBSG414057,2.0,11.4
STCAGMST80,1.0,104.948002
STD36101,1.0,15.72
STD36110,1.0,11.14
STD38009,3.0,5.01
STD38015,3.0,4.56
STD38019,1.0,9.55
STD38022,1.0,5.05
STD38027,1.0,4.77
STD38122,3.0,23.14
STD38132,1.0,20.42
STD39083,1.0,30.0
STD5085417AD,2.0,21.10178
STD513124,2.0,67.808742
STD52114354AA,1.0,11.51
STD52124754AC,1.0,20.0
STD68158377AA,1.0,12.09
STDCA3001A,2.0,22.7
STDD790,1.0,12.63
STDD820,2.0,10.0
STDES2079S,2.0,8.335579
STDES2836,1.0,6.89104
STDES3242,1.0,17.64
STDES3369T,1.0,6.79
